,nc,proponente,programa,empenho,valor_inicial_nc,valor_utilizado,valor_economizado,saldo,consumo_da_nc_%,prop_pk1,prop_pk2
132,,NAN,,,,,,,,,
133,,NAN,,,,,,,,,
134,,NAN,,,,,,,,,
135,,NAN,,,,,,,,,
136,,NAN,,,,,,,,,
137,,NAN,,,,,,,,,
138,,NAN,,,,,,,,,
139,,NAN,,,,,,,,,
140,,NAN,,,,,,,,,
141,,NAN,,,,,,,,,
142,,NAN,,,,,,,,,
143,,NAN,,,,,,,,,
144,,NAN,,,,,,,,,
145,,NAN,,,,,,,,,
146,,NAN,,,,,,,,,
147,,NAN,,,,,,,,,
148,,NAN,,,,,,,,,
149,,NAN,,,,,,,,,
150,,NAN,,,,,,,,,
151,,NAN,,,,,,,,,
152,,NAN,,,,,,,,,
153,,NAN,,,,,,,,,
154,,NAN,,,,,,,,,
155,,NAN,,,,,,,,,
156,,NAN,,,,,,,,,
157,,NAN,,,,,,,,,
158,,NAN,,,,,,,,,
159,,NAN,,,,,,,,,
160,,NAN,,,,,,,,,
161,,NAN,,,,,,,,,
162,,NAN,,,,,,,,,
163,,NAN,,,,,,,,,
164,,NAN,,,,,,,,,
165,,NAN,,,,,,,,,
166,,NAN,,,,,,,,,
167,,NAN,,,,,,,,,
168,,NAN,,,,,,,,,
169,,NAN,,,,,,,,,
170,,NAN,,,,,,,,,
171,,NAN,,,,,,,,,
172,,NAN,,,,,,,,,
173,,NAN,,,,,,,,,
174,,NAN,,,,,,,,,
175,,NAN,,,,,,,,,
176,,NAN,,,,,,,,,
177,,NAN,,,,,,,,,
178,,NAN,,,,,,,,,
179,,NAN,,,,,,,,,
180,,NAN,,,,,,,,,
181,,NAN,,,,,,,,,
182,,NAN,,,,,,,,,
183,,NAN,,,,,,,,,
184,,NAN,,,,,,,,,
185,,NAN,,,,,,,,,
186,,NAN,,,,,,,,,
187,,NAN,,,,,,,,,
188,,NAN,,,,,,,,,
189,,NAN,,,,,,,,,
190,,NAN,,,,,,,,,
191,,NAN,,,,,,,,,
192,,NAN,,,,,,,,,
193,,NAN,,,,,,,,,
194,,NAN,,,,,,,,,
195,,NAN,,,,,,,,,
196,,NAN,,,,,,,,,
197,,NAN,,,,,,,,,
198,,NAN,,,,,,,,,
199,,NAN,,,,,,,,,
