,prop_pk1,uf,partido,orgao,prop_1,prop_2,prop_3,prop_4,prop_pk2
137,ALEXANDRE ROCHA SANTOS PADILHA,SP,PT,camara,,,,,DEP. ALEXANDRE ROCHA SANTOS PADILHA
138,ALEXIS JOSEPH STEVERLYNCK FONTEYNE,SP,NOVO,camara,,,,,DEP. ALEXIS JOSEPH STEVERLYNCK FONTEYNE
139,ALICE MAZZUCO PORTUGAL,BA,PCdoB,camara,,,ALICE PORTUGAL,,DEP. ALICE MAZZUCO PORTUGAL
140,ALIEL MACHADO BARK,PR,PSB,camara,,,,,DEP. ALIEL MACHADO BARK
141,ALINE PARANHOS VARONIL GURGEL,AP,REPUBLICANOS,camara,,,,,DEP. ALINE PARANHOS VARONIL GURGEL
142,ALINE SLEUTJES,PR,PSL,camara,ALINE SLEUTJES,,,,DEP. ALINE SLEUTJES
143,ALTINEU CORTES FREITAS COUTINHO,RJ,PL,camara,,,,,DEP. ALTINEU CORTES FREITAS COUTINHO
144,ALUISIO GUIMARAES MENDES FILHO,MA,PSC,camara,,,,,DEP. ALUISIO GUIMARAES MENDES FILHO
145,AMARO ROCHA NASCIMENTO NETO,ES,REPUBLICANOS,camara,,,,,DEP. AMARO ROCHA NASCIMENTO NETO
146,ANDRE DOS SANTOS ABDON,AP,PP,camara,,,,,DEP. ANDRE DOS SANTOS ABDON
147,ANDRE CARLOS ALVES DE PAULA FILHO,PE,PSD,camara,,,,,DEP. ANDRE CARLOS ALVES DE PAULA FILHO
148,ANDRE FERREIRA RODRIGUES,PE,PSC,camara,,,,,DEP. ANDRE FERREIRA RODRIGUES
149,ANDRE PEIXOTO FIGUEIREDO LIMA,CE,PDT,camara,,,,,DEP. ANDRE PEIXOTO FIGUEIREDO LIMA
150,ANDRE LUIZ CARVALHO RIBEIRO,MA,PP,camara,,,,,DEP. ANDRE LUIZ CARVALHO RIBEIRO
151,ANDRE LUIS GASPAR JANONES,MG,AVANTE,camara,,,,,DEP. ANDRE LUIS GASPAR JANONES
152,ANGELA REGINA HEINZEN AMIN HELOU,SC,PP,camara,,,,,DEP. ANGELA REGINA HEINZEN AMIN HELOU
153,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,BA,PSD,camara,,,,,DEP. ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO
154,ARLINDO CHIGNALIA JUNIOR,SP,PT,camara,,,,,DEP. ARLINDO CHIGNALIA JUNIOR
155,ARNALDO CALIL PEREIRA JARDIM,SP,CIDADANIA,camara,,,,,DEP. ARNALDO CALIL PEREIRA JARDIM
156,JOSE AROLDO SOUZA MARTINS,PR,REPUBLICANOS,camara,,,,,DEP. JOSE AROLDO SOUZA MARTINS
157,ARTHUR CESAR PEREIRA DE LIRA,AL,PP,camara,,,,,DEP. ARTHUR CESAR PEREIRA DE LIRA
158,ARTHUR DE OLIVEIRA MAIA DA SILVA,BA,DEM,camara,,,,,DEP. ARTHUR DE OLIVEIRA MAIA DA SILVA
159,ATILA SIDNEY LINS ALBUQUERQUE,AM,PP,camara,,,,,DEP. ATILA SIDNEY LINS ALBUQUERQUE
160,ATILA FREITAS LIRA,PI,PP,camara,,,,,DEP. ATILA FREITAS LIRA
161,AUGUSTO RODRIGUES COUTINHO DE MELO,PE,SOLIDARIEDADE,camara,,,,,DEP. AUGUSTO RODRIGUES COUTINHO DE MELO
162,AUREA CAROLINA DE FREITAS E SILVA,MG,PSOL,camara,,,,,DEP. AUREA CAROLINA DE FREITAS E SILVA
163,AUREO LIDIO MOREIRA RIBEIRO,RJ,SOLIDARIEDADE,camara,,,,,DEP. AUREO LIDIO MOREIRA RIBEIRO
164,JOAO CARLOS BACELAR BATISTA,BA,PODE,camara,,,,,DEP. JOAO CARLOS BACELAR BATISTA
165,LUIZ FELIPE BALEIA TENUTO ROSSI,SP,MDB,camara,,,,,DEP. LUIZ FELIPE BALEIA TENUTO ROSSI
166,BENEDITA SOUZA DA SILVA SAMPAIO,RJ,PT,camara,,,,,DEP. BENEDITA SOUZA DA SILVA SAMPAIO
167,LUIZ BENES LEOCADIO DE ARAUJO,RN,REPUBLICANOS,camara,,,,,DEP. LUIZ BENES LEOCADIO DE ARAUJO
168,JOSE ROBERTO OLIVEIRA FARO,PA,PT,camara,,,,,DEP. JOSE ROBERTO OLIVEIRA FARO
169,HUMBERTO REZENDE PEREIRA,MS,PSDB,camara,,,,,DEP. HUMBERTO REZENDE PEREIRA
170,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,RN,PP,camara,,,,,DEP. CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO
171,BEATRIZ ROSALIA RIBEIRO CAVASSA DE OLIVEIRA,MS,PSDB,camara,,,,,DEP. BEATRIZ ROSALIA RIBEIRO CAVASSA DE OLIVEIRA
172,BEATRIZ KICIS TORRENTS DE SORDI,DF,PSL,camara,,,,,DEP. BEATRIZ KICIS TORRENTS DE SORDI
173,ALCIBIO MESQUITA BIBO NUNES,RS,PSL,camara,,,,,DEP. ALCIBIO MESQUITA BIBO NUNES
174,OLAVO BILAC PINTO NETO,MG,DEM,camara,,,,,DEP. OLAVO BILAC PINTO NETO
175,UBIRAJARA DO PINDARE ALMEIDA SOUSA,MA,PSB,camara,,,,,DEP. UBIRAJARA DO PINDARE ALMEIDA SOUSA
176,ELVINO JOSE BOHN GASS,RS,PT,camara,,,,,DEP. ELVINO JOSE BOHN GASS
177,JOAO BOSCO DA COSTA,SE,PL,camara,,,,,DEP. JOAO BOSCO DA COSTA
178,JOAO BOSCO GOMES SARAIVA,AM,SOLIDARIEDADE,camara,,,,,DEP. JOAO BOSCO GOMES SARAIVA
179,NICOLINO BOZZELLA JUNIOR,SP,PSL,camara,,,,,DEP. NICOLINO BOZZELLA JUNIOR
180,BRUNA DIAS FURLAN,SP,PSDB,camara,,,,,DEP. BRUNA DIAS FURLAN
181,CARLOS FELIPE VAZQUEZ DE SOUZA LEAO,BA,PP,camara,,,,,DEP. CARLOS FELIPE VAZQUEZ DE SOUZA LEAO
182,CARLOS CAMILO GOES CAPIBERIBE,AP,PSB,camara,,,,,DEP. CARLOS CAMILO GOES CAPIBERIBE
183,ALBERTO BARROS CAVALCANTE NETO,AM,REPUBLICANOS,camara,,,,,DEP. ALBERTO BARROS CAVALCANTE NETO
184,JOSE AUGUSTO ROSA,SP,PL,camara,,,,,DEP. JOSE AUGUSTO ROSA
185,FABIO ABREU COSTA,PI,PL,camara,,,,,DEP. FABIO ABREU COSTA
186,WAGNER SOUSA GOMES,CE,PROS,camara,,,,,DEP. WAGNER SOUSA GOMES
187,HILKEA CARLA DE SOUZA MEDEIROS LIMA,RN,PROS,camara,,,,,DEP. HILKEA CARLA DE SOUZA MEDEIROS LIMA
188,CARLA ZAMBELLI SALGADO DE OLIVEIRA,SP,PSL,camara,,,,,DEP. CARLA ZAMBELLI SALGADO DE OLIVEIRA
189,CARLOS GOMES BEZERRA,MT,MDB,camara,,,,,DEP. CARLOS GOMES BEZERRA
190,CARLOS ALBERTO CHIODINI,SC,MDB,camara,,,,,DEP. CARLOS ALBERTO CHIODINI
191,ANTONIO CARLOS GOMES DA SILVA,RS,REPUBLICANOS,camara,,,,,DEP. ANTONIO CARLOS GOMES DA SILVA
192,CARLOS HENRIQUE AMORIM,TO,DEM,camara,,,,,DEP. CARLOS HENRIQUE AMORIM
193,CARLOS ROBERTO COELHO DE MATTOS JUNIOR,RJ,PSL,camara,,,,,DEP. CARLOS ROBERTO COELHO DE MATTOS JUNIOR
194,CARLOS HENRIQUE FOCESI SAMPAIO,SP,PSDB,camara,,,,,DEP. CARLOS HENRIQUE FOCESI SAMPAIO
195,JOSE CARLOS VERAS DOS SANTOS,PE,PT,camara,,,,,DEP. JOSE CARLOS VERAS DOS SANTOS
196,CARLOS ALBERTO ROLIM ZARATTINI,SP,PT,camara,,,,,DEP. CARLOS ALBERTO ROLIM ZARATTINI
197,CARMEN EMILIA BONFA ZANOTTO,SC,CIDADANIA,camara,,,,,DEP. CARMEN EMILIA BONFA ZANOTTO
198,CAROLINE RODRIGUES DE TONI,SC,PSL,camara,,,,,DEP. CAROLINE RODRIGUES DE TONI
199,CASSIO COELHO ANDRADE,PA,PSB,camara,,,,,DEP. CASSIO COELHO ANDRADE
200,CELINA LEAO HIZIM FERREIRA,DF,PP,camara,,,,,DEP. CELINA LEAO HIZIM FERREIRA
201,CELIO ALVES DE MOURA,TO,PT,camara,,,,,DEP. CELIO ALVES DE MOURA
202,CELIO ANTONIO DA SILVEIRA,GO,PSDB,camara,,,,,DEP. CELIO ANTONIO DA SILVEIRA
203,CELIO STUDART BARBOSA,CE,PV,camara,,,,,DEP. CELIO STUDART BARBOSA
204,CELSO MALDANER,SC,MDB,camara,,,,,DEP. CELSO MALDANER
205,CELSO UBIRAJARA RUSSOMANNO,SP,REPUBLICANOS,camara,,,,,DEP. CELSO UBIRAJARA RUSSOMANNO
206,CELSO SABINO DE OLIVEIRA,PA,PSL,camara,,CELSO SABINO,,,DEP. CELSO SABINO DE OLIVEIRA
207,ANTONIO CEZAR CORREIA FREIRE,SP,PSD,camara,,,,,DEP. ANTONIO CEZAR CORREIA FREIRE
208,CHARLES FERNANDES SILVEIRA SANTANA,BA,PSD,camara,,,,,DEP. CHARLES FERNANDES SILVEIRA SANTANA
209,CHARLLES THOMACELLI EVANGELISTA,MG,PSL,camara,,,,,DEP. CHARLLES THOMACELLI EVANGELISTA
210,FRANCISCO JOSE D'ANGELO PINTO,RJ,PDT,camara,,,,,DEP. FRANCISCO JOSE D'ANGELO PINTO
211,JOAO FRANCISCO INACIO BRAZAO,RJ,AVANTE,camara,,,,,DEP. JOAO FRANCISCO INACIO BRAZAO
212,JOAO INACIO RIBEIRO ROMA NETO,PE,REPUBLICANOS,camara,JOAO INÁCIO RIBEIRO ROMA NETO,JOAO ROMA,JOAO INACIO RIBEIRO ROMA NETO,,DEP. JOAO INACIO RIBEIRO ROMA NETO
213,CHRISTINE NOGUEIRA DOS REIS TONIETTO,RJ,PSL,camara,,,,,DEP. CHRISTINE NOGUEIRA DOS REIS TONIETTO
214,CHRISTIANE DE SOUZA YARED,PR,PL,camara,,,,,DEP. CHRISTIANE DE SOUZA YARED
215,CHRISTINO AUREO DA SILVA,RJ,PP,camara,,,,,DEP. CHRISTINO AUREO DA SILVA
216,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,RJ,PROS,camara,,,,,DEP. CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA
217,CLAUDIO CAJADO SAMPAIO,BA,PP,camara,,,,,DEP. CLAUDIO CAJADO SAMPAIO
218,CLEBER VERDE CORDEIRO MENDES,MA,REPUBLICANOS,camara,,,,,DEP. CLEBER VERDE CORDEIRO MENDES
219,LUIZ ARMANDO SCHROEDER REIS,SC,PSL,camara,,,,,DEP. LUIZ ARMANDO SCHROEDER REIS
220,JOAO CHRISOSTOMO DE MOURA,RO,PSL,camara,CORONEL CHRISOSTOMO,,,,DEP. JOAO CHRISOSTOMO DE MOURA
221,MARCIO TADEU ANHAIA DE LEMOS,SP,PSL,camara,,,,,DEP. MARCIO TADEU ANHAIA DE LEMOS
222,LUIS ANTONIO FRANCISCATTO COVATTI,RS,PP,camara,,,,,DEP. LUIS ANTONIO FRANCISCATTO COVATTI
223,CRISTIANO DUTRA VALE,PA,PL,camara,,,,,DEP. CRISTIANO DUTRA VALE
224,JOSIAS MARIO DA VITORIA,ES,CIDADANIA,camara,,,,,DEP. JOSIAS MARIO DA VITORIA
225,DAGOBERTO NOGUEIRA FILHO,MS,PDT,camara,,,,,DEP. DAGOBERTO NOGUEIRA FILHO
226,DAMIAO FELICIANO DA SILVA,PB,PDT,camara,,,,,DEP. DAMIAO FELICIANO DA SILVA
227,DANIEL GOMES DE ALMEIDA,BA,PCdoB,camara,,,,,DEP. DANIEL GOMES DE ALMEIDA
228,DANIEL PIRES COELHO,PE,CIDADANIA,camara,,,,,DEP. DANIEL PIRES COELHO
229,DANIEL COSTA DE FREITAS,SC,PSL,camara,,,,,DEP. DANIEL COSTA DE FREITAS
230,DANIEL LUCIO DA SILVEIRA,RJ,PSL,camara,,,,,DEP. DANIEL LUCIO DA SILVEIRA
231,DANIEL TRZECIAK DUARTE,RS,PSDB,camara,,,,,DEP. DANIEL TRZECIAK DUARTE
232,DANIELA MOTE DE SOUZA CARNEIRO,RJ,MDB,camara,,,,,DEP. DANIELA MOTE DE SOUZA CARNEIRO
233,DANILO JORGE DE BARROS CABRAL,PE,PSB,camara,,,,,DEP. DANILO JORGE DE BARROS CABRAL
234,FRANCISCO DANILO BASTOS FORTE,CE,PSDB,camara,,,,,DEP. FRANCISCO DANILO BASTOS FORTE
235,DARCI DE MATOS,SC,PSD,camara,,,,,DEP. DARCI DE MATOS
236,DAVID MICHAEL DOS SANTOS MIRANDA,RJ,PSOL,camara,,,,,DEP. DAVID MICHAEL DOS SANTOS MIRANDA
237,ANTONIO DA LUZ FURTADO,RJ,PSL,camara,,,,,DEP. ANTONIO DA LUZ FURTADO
238,EDER MAURO CARDOSO BARRA,PA,PSD,camara,,,,,DEP. EDER MAURO CARDOSO BARRA
239,MARCELO EDUARDO FREITAS,MG,PSL,camara,,,,,DEP. MARCELO EDUARDO FREITAS
240,PABLO OLIVA SOUZA,AM,PSL,camara,,,,,DEP. PABLO OLIVA SOUZA
241,WALDIR SOARES DE OLIVEIRA,GO,PSL,camara,,,,,DEP. WALDIR SOARES DE OLIVEIRA
242,DENIS ANDERSON DA ROCHA BEZERRA,CE,PSB,camara,,,,,DEP. DENIS ANDERSON DA ROCHA BEZERRA
243,DIEGO LEONARDO DE ANDRADE CARVALHO,MG,PSD,camara,,,,,DEP. DIEGO LEONARDO DE ANDRADE CARVALHO
244,DIEGO ALEXSANDER GONCALO PAULA GARCIA,PR,PODE,camara,,,,,DEP. DIEGO ALEXSANDER GONCALO PAULA GARCIA
245,DIMAS FABIANO TOLEDO JUNIOR,MG,PP,camara,DIMAS FABIANO,,,,DEP. DIMAS FABIANO TOLEDO JUNIOR
246,DOMINGOS GOMES DE AGUIAR NETO,CE,PSD,camara,,,,,DEP. DOMINGOS GOMES DE AGUIAR NETO
247,DOMINGOS SAVIO CAMPOS RESENDE,MG,PSDB,camara,,,,,DEP. DOMINGOS SAVIO CAMPOS RESENDE
248,FREDERICO DE CASTRO ESCALEIRA,MG,PATRIOTA,camara,,,,,DEP. FREDERICO DE CASTRO ESCALEIRA
249,JAZIEL PEREIRA DE SOUSA,CE,PL,camara,,,,,DEP. JAZIEL PEREIRA DE SOUSA
250,LEONARDO RIBEIRO ALBUQUERQUE,MT,SOLIDARIEDADE,camara,,,,,DEP. LEONARDO RIBEIRO ALBUQUERQUE
251,LUIZ ANTONIO DE SOUZA TEIXEIRA JUNIOR,RJ,PP,camara,,,,,DEP. LUIZ ANTONIO DE SOUZA TEIXEIRA JUNIOR
252,LUIZ ALBERTO OVANDO,MS,PSL,camara,,,,,DEP. LUIZ ALBERTO OVANDO
253,ZACARIAS CALIL HAMU,GO,DEM,camara,,,,,DEP. ZACARIAS CALIL HAMU
254,SORAYA DE SOUZA MANNATO,ES,PSL,camara,,,,,DEP. SORAYA DE SOUZA MANNATO
255,VANDA DENIR MILANI NOGUEIRA,AC,SOLIDARIEDADE,camara,,,,,DEP. VANDA DENIR MILANI NOGUEIRA
256,DULCE FERREIRA PAGANI MIRANDA,TO,MDB,camara,,,,,DEP. DULCE FERREIRA PAGANI MIRANDA
257,EDILAZIO GOMES DA SILVA JUNIOR,MA,PSD,camara,,,,,DEP. EDILAZIO GOMES DA SILVA JUNIOR
258,EDIO VIEIRA LOPES,RR,PL,camara,,,,,DEP. EDIO VIEIRA LOPES
259,EDNACE ALVES SILVESTRE HENRIQUE,PB,PSDB,camara,EDNA HENRIQUE,,,,DEP. EDNACE ALVES SILVESTRE HENRIQUE
260,EDUARDO LUIZ BARROS BARBOSA,MG,PSDB,camara,,,,,DEP. EDUARDO LUIZ BARROS BARBOSA
261,EDUARDO HENRIQUE MAIA BISMARCK,CE,PDT,camara,,,,,DEP. EDUARDO HENRIQUE MAIA BISMARCK
262,EDUARDO NANTES BOLSONARO,SP,PSL,camara,,,,,DEP. EDUARDO NANTES BOLSONARO
263,JOSE EDUARDO PEREIRA DA COSTA,PA,PTB,camara,,,,,DEP. JOSE EDUARDO PEREIRA DA COSTA
264,EDUARDO PEDROSA CURY,SP,PSDB,camara,,,,,DEP. EDUARDO PEDROSA CURY
265,EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,PE,PP,camara,,,,,DEP. EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA
266,EFRAIM DE ARAUJO MORAIS FILHO,PB,DEM,camara,,,,,DEP. EFRAIM DE ARAUJO MORAIS FILHO
267,ELCIONE THEREZINHA ZAHLUTH BARBALHO,PA,MDB,camara,,,,,DEP. ELCIONE THEREZINHA ZAHLUTH BARBALHO
268,ELI DIAS BORGES,TO,SOLIDARIEDADE,camara,,,,,DEP. ELI DIAS BORGES
269,ADRIANO ELI CORREA,SP,DEM,camara,,,,,DEP. ADRIANO ELI CORREA
270,ELIAS VAZ DE ANDRADE,GO,PSB,camara,,,ELIAS VAZ,,DEP. ELIAS VAZ DE ANDRADE
271,ELMAR JOSE VIEIRA NASCIMENTO,BA,DEM,camara,,,,,DEP. ELMAR JOSE VIEIRA NASCIMENTO
272,ELIANE DE SOUSA ALVES MACHADO,SP,REPUBLICANOS,camara,,,,,DEP. ELIANE DE SOUSA ALVES MACHADO
273,EMANUEL PINHEIRO DA SILVA PRIMO,MT,PTB,camara,,,,,DEP. EMANUEL PINHEIRO DA SILVA PRIMO
274,EMIDIO ALVES MADEIRA JUNIOR,MG,PSB,camara,,,,,DEP. EMIDIO ALVES MADEIRA JUNIOR
275,ENIO JOSE VERRI,PR,PT,camara,,,,,DEP. ENIO JOSE VERRI
276,ENRICO VAN BLARCUM DE GRAAFF MISASI,SP,PV,camara,,,,,DEP. ENRICO VAN BLARCUM DE GRAAFF MISASI
277,ERIKA JUCA KOKAY,DF,PT,camara,,,,,DEP. ERIKA JUCA KOKAY
278,EROS FERREIRA BIONDINI,MG,PROS,camara,,,,,DEP. EROS FERREIRA BIONDINI
279,EUCLYDES MARCOS PETTERSEN NETO,MG,PSC,camara,,,,,DEP. EUCLYDES MARCOS PETTERSEN NETO
280,EVAIR VIEIRA DE MELO,ES,PP,camara,EVAIR DE MELO,,,,DEP. EVAIR VIEIRA DE MELO
281,EXPEDITO GONCALVES FERREIRA NETTO,RO,PSD,camara,EXPEDITO GONCALVES FERREIRA NETO,EXPEDITO NETTO,,,DEP. EXPEDITO GONCALVES FERREIRA NETTO
282,FABIO HENRIQUE SANTANA DE CARVALHO,SE,PDT,camara,,,,,DEP. FABIO HENRIQUE SANTANA DE CARVALHO
283,FABIO CRUZ MITIDIERI,SE,PSD,camara,,,,,DEP. FABIO CRUZ MITIDIERI
284,FABIO AUGUSTO RAMALHO DOS SANTOS,MG,MDB,camara,,,,,DEP. FABIO AUGUSTO RAMALHO DOS SANTOS
285,FABIO DE ALMEIDA REIS,SE,MDB,camara,FABIO REIS,,,,DEP. FABIO DE ALMEIDA REIS
286,FABIO LUIZ SCHIOCHET FILHO,SC,PSL,camara,,,,,DEP. FABIO LUIZ SCHIOCHET FILHO
287,FABIO RICARDO TRAD,MS,PSD,camara,,,,,DEP. FABIO RICARDO TRAD
288,FAUSTO RUY PINATO,SP,PP,camara,,,,,DEP. FAUSTO RUY PINATO
289,FELICIO LATERCA DE ALMEIDA,RJ,PSL,camara,,,,,DEP. FELICIO LATERCA DE ALMEIDA
290,FELIPE AUGUSTO LYRA CARRERAS,PE,PSB,camara,,,,,DEP. FELIPE AUGUSTO LYRA CARRERAS
291,LUIS FELIPE BONATTO FRANCISCHINI,PR,PSL,camara,,,,,DEP. LUIS FELIPE BONATTO FRANCISCHINI
292,FELIPE RIGONI LOPES,ES,PSB,camara,,,,,DEP. FELIPE RIGONI LOPES
293,FELIX DE ALMEIDA MENDONCA JUNIOR,BA,PDT,camara,,,,,DEP. FELIX DE ALMEIDA MENDONCA JUNIOR
294,FERNANDA MELCHIONNA E SILVA,RS,PSOL,camara,,,,,DEP. FERNANDA MELCHIONNA E SILVA
295,FERNANDO BEZERRA DE SOUZA COELHO FILHO,PE,DEM,camara,,,,,DEP. FERNANDO BEZERRA DE SOUZA COELHO FILHO
296,FERNANDO MONTEIRO DE ALBUQUERQUE,PE,PP,camara,,,,,DEP. FERNANDO MONTEIRO DE ALBUQUERQUE
297,FERNANDO RODOLFO TENORIO DE VASCONCELOS,PE,PL,camara,,,,,DEP. FERNANDO RODOLFO TENORIO DE VASCONCELOS
298,FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,PR,PSL,camara,,,,,DEP. FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO
299,FLAVIA CARREIRO ALBUQUERQUE MORAIS,GO,PDT,camara,,,,,DEP. FLAVIA CARREIRO ALBUQUERQUE MORAIS
300,FLAVIANO FLAVIO BAPTISTA DE MELO,AC,MDB,camara,FLAVIANO MELO,,,,DEP. FLAVIANO FLAVIO BAPTISTA DE MELO
301,FLAVIO RODRIGUES NOGUEIRA,PI,PDT,camara,,,,,DEP. FLAVIO RODRIGUES NOGUEIRA
302,FRANCISCO RODRIGUES VALE JUNIOR,GO,PSD,camara,,,,,DEP. FRANCISCO RODRIGUES VALE JUNIOR
303,FRANCO CARTAFINA GOMES,MG,PP,camara,,,,,DEP. FRANCO CARTAFINA GOMES
304,FREDERICO BORGES DA COSTA,MG,PATRIOTA,camara,,,,,DEP. FREDERICO BORGES DA COSTA
305,ANTONIO RIBEIRO,PB,PT,camara,,,,,DEP. ANTONIO RIBEIRO
306,GASTAO DIAS VIEIRA,MA,PROS,camara,,,,,DEP. GASTAO DIAS VIEIRA
307,GELSON DE AZEVEDO ALMEIDA,RJ,PL,camara,,,,,DEP. GELSON DE AZEVEDO ALMEIDA
308,GENECIAS MATEUS NORONHA,CE,SOLIDARIEDADE,camara,,,,,DEP. GENECIAS MATEUS NORONHA
309,ELIESER GIRAO MONTEIRO FILHO,RN,PSL,camara,GENERAL GIRAO,,,,DEP. ELIESER GIRAO MONTEIRO FILHO
310,ROBERTO SEBASTIAO PETERNELLI JUNIOR,SP,PSL,camara,,,,,DEP. ROBERTO SEBASTIAO PETERNELLI JUNIOR
311,EUGENIO JOSE ZULIANI,SP,DEM,camara,,,,,DEP. EUGENIO JOSE ZULIANI
312,GEOVANIA DE SA,SC,PSDB,camara,,,,,DEP. GEOVANIA DE SA
313,GERVASIO AGRIPINO MAIA,PB,PSB,camara,,,,,DEP. GERVASIO AGRIPINO MAIA
314,FERNANDO LUCIO GIACOBO,PR,PL,camara,,,,,DEP. FERNANDO LUCIO GIACOBO
315,GILLIANO FRED NASCIMENTO CUTRIM,MA,REPUBLICANOS,camara,,,,,DEP. GILLIANO FRED NASCIMENTO CUTRIM
316,GILBERTO APARECIDO ABRAMO,MG,REPUBLICANOS,camara,,,,,DEP. GILBERTO APARECIDO ABRAMO
317,GILBERTO NASCIMENTO SILVA,SP,PSC,camara,,,,,DEP. GILBERTO NASCIMENTO SILVA
318,GILSON MARQUES VIEIRA,SC,NOVO,camara,,,,,DEP. GILSON MARQUES VIEIRA
319,GIOVANI CHERINI,RS,PL,camara,,,,,DEP. GIOVANI CHERINI
320,GIOVANI BATISTA FELTES,RS,MDB,camara,,,,,DEP. GIOVANI BATISTA FELTES
321,GLAUBER DE MEDEIROS BRAGA,RJ,PSOL,camara,,,,,DEP. GLAUBER DE MEDEIROS BRAGA
322,GLAUSKSTON BATISTA RIOS,GO,PSC,camara,,,,,DEP. GLAUSKSTON BATISTA RIOS
323,GLEISI HELENA HOFFMANN,PR,PT,camara,,,,,DEP. GLEISI HELENA HOFFMANN
324,LUIZ GONZAGA PATRIOTA,PE,PSB,camara,,,,,DEP. LUIZ GONZAGA PATRIOTA
325,GREYCE DE QUEIROZ ELIAS,MG,AVANTE,camara,,,,,DEP. GREYCE DE QUEIROZ ELIAS
326,JOSE GUILHERME NEGRAO PEIXOTO,SP,PSL,camara,,,,,DEP. JOSE GUILHERME NEGRAO PEIXOTO
327,GUILHERME MURARO DERRITE,SP,PP,camara,,,,,DEP. GUILHERME MURARO DERRITE
328,GUILHERME MUSSI FERREIRA,SP,PP,camara,,,,,DEP. GUILHERME MUSSI FERREIRA
329,JOAO CARLOS SOARES GURGEL,RJ,PSL,camara,,,,,DEP. JOAO CARLOS SOARES GURGEL
330,VICENTE ALVES DE OLIVEIRA JUNIOR,PL,TO,camara,VICENTINHO JUNIOR,,,,DEP. VICENTE ALVES DE OLIVEIRA JUNIOR
331,GUSTAVO BONATO FRUET,PR,PDT,camara,,,,,DEP. GUSTAVO BONATO FRUET
332,LUIZ AUGUSTO CARVALHO RIBEIRO FILHO,SE,SOLIDARIEDADE,camara,,,,,DEP. LUIZ AUGUSTO CARVALHO RIBEIRO FILHO
333,GUTEMBERG REIS DE OLIVEIRA,RJ,MDB,camara,,,,,DEP. GUTEMBERG REIS DE OLIVEIRA
334,HAROLDO ALVES CAMPOS,RR,PSD,camara,,,,,DEP. HAROLDO ALVES CAMPOS
335,HEITOR RODRIGO PEREIRA FREIRE,CE,PSL,camara,,,,,DEP. HEITOR RODRIGO PEREIRA FREIRE
336,HEITOR JOSE SCHUCH,RS,PSB,camara,,,,,DEP. HEITOR JOSE SCHUCH
337,HELDER IGNACIO SALOMAO,ES,PT,camara,,,,,DEP. HELDER IGNACIO SALOMAO
338,HELIO FRANCISCO DA COSTA,SC,REPUBLICANOS,camara,,,,,DEP. HELIO FRANCISCO DA COSTA
339,HELIO LEITE DA SILVA,PA,DEM,camara,,,,,DEP. HELIO LEITE DA SILVA
340,HELIO FERNANDO BARBOSA LOPES,RJ,PSL,camara,,,,,DEP. HELIO FERNANDO BARBOSA LOPES
341,HENRIQUE FONTANA JUNIOR,RS,PT,camara,,,,,DEP. HENRIQUE FONTANA JUNIOR
342,HERCILIO ARAUJO DINIZ FILHO,MG,MDB,camara,,,,,DEP. HERCILIO ARAUJO DINIZ FILHO
343,HERCULANO CASTILHO PASSOS JUNIOR,SP,MDB,camara,,,,,DEP. HERCULANO CASTILHO PASSOS JUNIOR
344,HERMES PARCIANELLO,PR,MDB,camara,,,,,DEP. HERMES PARCIANELLO
345,HILDO AUGUSTO DA ROCHA NETO,MA,MDB,camara,,,,,DEP. HILDO AUGUSTO DA ROCHA NETO
346,HIRAN MANUEL GONCALVES DA SILVA,RR,PP,camara,,,,,DEP. HIRAN MANUEL GONCALVES DA SILVA
347,MANUEL MARCOS CARVALHO DE MESQUITA,AC,REPUBLICANOS,camara,MANUEL MARCOS,,,,DEP. MANUEL MARCOS CARVALHO DE MESQUITA
348,HUGO LEAL MELO DA SILVA,RJ,PSD,camara,,,,,DEP. HUGO LEAL MELO DA SILVA
349,HUGO MOTTA WANDERLEY DA NOBREGA,PB,REPUBLICANOS,camara,,,,,DEP. HUGO MOTTA WANDERLEY DA NOBREGA
350,ANTONIO IDILVAN DE LIMA ALENCAR,CE,PDT,camara,,,,,DEP. ANTONIO IDILVAN DE LIMA ALENCAR
351,ANDERSON MACHADO DE JESUS,BA,DEM,camara,,,,,DEP. ANDERSON MACHADO DE JESUS
352,IGOR TARCIANO TIMO,MG,PODE,camara,,,,,DEP. IGOR TARCIANO TIMO
353,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,PI,PP,camara,,,,,DEP. IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA
354,ISNALDO BULHOES BARROS JUNIOR,AL,MDB,camara,,,,,DEP. ISNALDO BULHOES BARROS JUNIOR
